Stock ID,Year,Genus,Species,Predicted Value,Standard Error,LCI,UCI,Relative to Mean,
NAFO_morhua_5Z,1990,Gadus,morhua,-0.179,0.090,-0.359,0.001,Above,
NAFO_morhua_5Z,2000,Gadus,morhua,-0.093,0.087,-0.268,0.082,Below,
NAFO_morhua_5Z,latest,Gadus,morhua,0.448,0.087,0.274,0.623,Below,
NEFSC-GARMIII_aeglefinus_GOM,1980,Melanogrammus,aeglefinus,-0.199,0.101,-0.401,0.003,Below,
NEFSC-GARMIII_aeglefinus_GOM,1990,Melanogrammus,aeglefinus,-0.179,0.090,-0.359,0.001,Below,
NEFSC-GARMIII_aeglefinus_GOM,2000,Melanogrammus,aeglefinus,-0.093,0.087,-0.268,0.082,Below,
NEFSC-GARMIII_aeglefinus_GOM,latest,Melanogrammus,aeglefinus,0.448,0.087,0.274,0.623,Below,
NEFSC-GARMIII_cynoglossus_MAINE- NH,1990,Glyptocephalus,cynoglossus,-0.179,0.090,-0.359,0.001,Above,
NEFSC-GARMIII_cynoglossus_MAINE- NH,2000,Glyptocephalus,cynoglossus,-0.093,0.087,-0.268,0.082,Below,
NEFSC-GARMIII_cynoglossus_MAINE- NH,latest,Glyptocephalus,cynoglossus,0.448,0.087,0.274,0.623,Below,
NEFSC-GARMIII_dentatus_North Carolina,1990,Paralichthys,dentatus,-0.179,0.090,-0.359,0.001,Below,
NEFSC-GARMIII_dentatus_North Carolina,2000,Paralichthys,dentatus,-0.093,0.087,-0.268,0.082,Above,
NEFSC-GARMIII_dentatus_North Carolina,latest,Paralichthys,dentatus,0.448,0.087,0.274,0.623,Above,
NEFSC-GARMIII_ferrugina_SNE- MA,1980,Limada,ferrugina,-0.199,0.101,-0.401,0.003,Below,
NEFSC-GARMIII_ferrugina_SNE- MA,1990,Limada,ferrugina,-0.179,0.090,-0.359,0.001,Above,
NEFSC-GARMIII_ferrugina_SNE- MA,2000,Limada,ferrugina,-0.093,0.087,-0.268,0.082,Below,
NEFSC-GARMIII_ferrugina_SNE- MA,latest,Limada,ferrugina,0.448,0.087,0.274,0.623,Above,
NEFSC-GARMIII_saxatilis_GOM- CHATT,1990,Morone,saxatilis,-0.179,0.090,-0.359,0.001,Below,
NEFSC-GARMIII_saxatilis_GOM- CHATT,2000,Morone,saxatilis,-0.093,0.087,-0.268,0.082,Above,
NEFSC-GARMIII_saxatilis_GOM- CHATT,latest,Morone,saxatilis,0.448,0.087,0.274,0.623,Above,
NEFSC-GARMIII_tenuis_GOM- GB,1970,Urophycis,tenuis,0.024,0.162,-0.299,0.348,Above,
NEFSC-GARMIII_tenuis_GOM- GB,1980,Urophycis,tenuis,-0.199,0.101,-0.401,0.003,Above,
NEFSC-GARMIII_tenuis_GOM- GB,1990,Urophycis,tenuis,-0.179,0.090,-0.359,0.001,Below,
NEFSC-GARMIII_tenuis_GOM- GB,2000,Urophycis,tenuis,-0.093,0.087,-0.268,0.082,Below,
NEFSC-GARMIII_tenuis_GOM- GB,latest,Urophycis,tenuis,0.448,0.087,0.274,0.623,Below,
NEFSC-SAW_Chrysops_USTATL,1990,Stenotomus,Chrysops,-0.179,0.090,-0.359,0.001,Below,
NEFSC-SAW_Chrysops_USTATL,2000,Stenotomus,Chrysops,-0.093,0.087,-0.268,0.082,Below,
NEFSC-SAW_Chrysops_USTATL,latest,Stenotomus,Chrysops,0.448,0.087,0.274,0.623,Above,
NEFSC-SAW_morhua_GOM,1990,Gadus,morhua,-0.179,0.090,-0.359,0.001,Below,
NEFSC-SAW_morhua_GOM,2000,Gadus,morhua,-0.093,0.087,-0.268,0.082,Above,
NEFSC-SAW_morhua_GOM,latest,Gadus,morhua,0.448,0.087,0.274,0.623,Above,
NEFSC/CERT/TRAC_morhua_GB 5Ze,1980,Gadus,morhua,-0.199,0.101,-0.401,0.003,Below,
NEFSC/CERT/TRAC_morhua_GB 5Ze,1990,Gadus,morhua,-0.179,0.090,-0.359,0.001,Below,
NEFSC/CERT/TRAC_morhua_GB 5Ze,2000,Gadus,morhua,-0.093,0.087,-0.268,0.082,Above,
NEFSC/CERT/TRAC_morhua_GB 5Ze,latest,Gadus,morhua,0.448,0.087,0.274,0.623,Above,
NEFSC_americanus_GB,1990,Pseudopleuronectes,americanus,-0.179,0.090,-0.359,0.001,Below,
NEFSC_americanus_GB,2000,Pseudopleuronectes,americanus,-0.093,0.087,-0.268,0.082,Above,
NEFSC_americanus_GB,latest,Pseudopleuronectes,americanus,0.448,0.087,0.274,0.623,Below,
NEFSC_virens_GB,1970,Pollachius,virens,0.024,0.162,-0.299,0.348,Above,
NEFSC_virens_GB,1980,Pollachius,virens,-0.199,0.101,-0.401,0.003,Above,
NEFSC_virens_GB,1990,Pollachius,virens,-0.179,0.090,-0.359,0.001,Below,
NEFSC_virens_GB,2000,Pollachius,virens,-0.093,0.087,-0.268,0.082,Below,
NEFSC_virens_GB,latest,Pollachius,virens,0.448,0.087,0.274,0.623,Below,
